gene_symbols,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16,phi_17,phi_18,phi_19,phi_20,phi_21,phi_22,phi_23,phi_24,phi_25,phi_26,phi_27,phi_28,phi_29,phi_30,phi_31,phi_32,phi_33,phi_34,phi_35
TTC34,-0.0015778979,0.0020985138,-0.034291144,-0.009319739,-0.014061634,-0.007753629,0.024927465,0.009854685,0.0019405187,-0.010543782,0.004859433,-0.00599978,0.0034565963,0.0033266004,0.005986686,0.01158987,-0.003570097,0.008114196,0.011042513,-0.004986719,-0.001753912,-0.006524244,-0.005853831,0.00044308053,0.0010114468,-0.0029956263,-0.0065248874,-0.0009805245,-0.00029119058,0.0054298323,-0.001083796,0.005782138,0.0015698165,0.0032566877,0.006789692,-0.0016393702
SMIM1,0.163899,0.025230698,-0.13879088,-0.09515888,-0.013888704,0.022682665,0.044890843,-0.050298687,-0.01771086,0.012638556,-0.017184118,0.0049482305,-0.012356841,-0.0052492255,0.012371526,0.0033900333,0.0132029755,-0.006106825,0.014816665,0.010237317,-0.0026172632,-0.013393507,-0.015799196,0.008189603,0.0026601357,0.013689497,-0.01133908,0.008809566,0.0020896965,0.017436657,-0.0060146195,-0.0111613255,0.01099559,-0.012918782,0.03318038,-0.014595708
CHD5,0.033996794,0.011444851,-0.021421378,0.008924712,-0.0049493625,-0.02148226,0.0044962643,-0.0018050972,0.001577873,-0.016337875,-0.01577209,0.015459825,-0.004388275,-0.0014884253,0.008777904,0.0029497752,0.017997943,0.0025292938,-0.00068178476,-0.002580214,-0.00774432,-0.0006431921,0.017529558,-0.0015264087,0.0022553524,0.00827742,0.00046467656,0.0040912735,0.01116433,0.018000543,0.0052065942,0.008003503,0.010802414,-0.008496113,0.009887776,0.0074239257
LINC00337,-0.11021113,-0.014938569,0.012637376,-0.005116039,-0.017010106,-0.020648347,-0.01779185,0.015841184,0.0034587802,-0.012922089,0.007934111,0.008876019,0.007318823,0.01177686,-0.0004252244,-0.011095373,-0.016597394,0.0016687468,-0.006832082,-0.0010668635,-0.0037715626,0.006929091,0.00472896,0.00027231718,0.0074814446,0.003811972,0.00050706544,0.0034066124,0.008927811,0.0013721228,0.00052385684,-0.0040433505,-0.005138708,-0.011341382,0.00023754453,0.0047089774
HES2,0.039720632,0.008984815,0.022110648,-0.0009232195,0.008945404,-0.007774331,0.021866431,-9.419002e-06,0.0030365926,0.0005629423,0.012214825,0.0020879207,-0.0143837975,0.011312878,0.005714632,0.016685486,-0.0057966528,0.0066166082,-0.007822831,-0.003595145,-0.016332082,0.0047689932,-0.013434903,-0.0021128808,0.0066964864,0.009452909,0.0051677073,-0.010027659,-0.0012576481,-0.0049029426,-0.0038986807,0.0005431421,-0.004083055,0.010140369,0.0019330406,-0.008763288
ESPN,-0.026036516,0.0059205233,0.0022138245,-0.017183583,0.020896751,0.010635602,0.01357592,0.0016674347,-0.0025688284,0.0057378933,-0.006878177,-0.0009265314,-0.0067528225,0.00070368714,5.594655e-05,0.009741786,-0.013574537,0.0070658894,-0.004117509,0.034735374,-0.01470476,-0.00047339738,-0.0021412652,-0.00032364693,0.0008487998,0.00010458476,-0.008711126,0.009216746,0.00037819816,-0.010387633,-0.009610189,-0.0065443297,0.008693898,0.0016420924,-0.0071775224,-0.0022335302
TNFRSF9,-0.036718514,-0.0025574116,-0.038503554,0.15886706,0.047905818,0.07110259,0.08545122,-0.13944355,-0.024411744,0.01325812,0.072078146,-0.0067134495,-0.022524497,-0.022975452,-0.055252966,0.019742256,-0.038997017,0.017000647,-0.022231063,0.051106006,0.013120381,0.0994312,0.14051056,0.09164212,0.16300651,-0.17655528,-0.0018502168,0.033722326,-0.024554567,-0.049917147,0.019680686,0.058508847,-0.10657845,-0.0143362675,-0.075579055,0.05352852
ENO1,-0.44964838,0.05521911,0.9758765,0.23711693,0.3104786,0.12220637,-0.35682335,-0.079615526,-0.008678108,-0.0066754925,-0.03325863,-0.03711292,-0.054261725,-0.080887206,0.017849663,0.041577842,-0.037540235,0.08794969,0.030871887,-0.010467948,-0.022446703,0.0007059804,0.017412467,-0.0930302,-0.102828056,0.0861503,0.05960365,-0.003458717,-0.09309075,-0.056896888,-0.039830297,-0.10092566,0.02076012,-0.04740073,-0.046733532,0.02647823
GPR157,0.055789944,-0.008377156,0.021048013,0.014081085,0.012220306,0.0037688643,-0.0060907295,-0.013387052,-0.0041978103,-0.001122105,0.0053191725,-0.0050346605,-0.005783512,-0.0032844234,-0.00173853,-0.0005503491,0.004375027,0.0027521853,-0.010722788,0.0027187131,0.0014567778,-0.001527273,-0.006498759,-0.009083387,-0.0071297335,0.008045813,0.008206067,0.008313672,0.0032116517,0.011517802,-0.005605557,0.00095279486,0.0027903114,8.19519e-07,-0.00021032346,0.00089936226
H6PD,-0.026469272,-0.003933955,-0.09300542,-0.024740491,-0.0032687637,-0.017021237,0.04473536,-0.012510561,-0.007851446,0.004035962,-0.0039986847,-0.0018695483,-0.013014204,0.0016350022,-0.008064804,0.03489033,0.006111728,-0.0016652653,0.027666474,-0.0054684496,-0.03841252,-0.0029095174,-0.0032816126,0.012276532,-0.007018371,0.0034191404,-0.020707235,-0.0052302047,9.262825e-05,-0.0012615361,-0.0017149921,-0.009232953,0.010802649,-0.008063799,0.0059027714,0.0060751378
PIK3CD-AS1,0.024776915,-0.017495979,-0.025934404,-0.018827278,-0.013293506,-0.040184833,-0.019876326,0.03069416,0.0035533186,0.01507777,0.007203045,0.0054251985,0.0048317756,-0.000241589,-0.016510637,0.0057246597,0.0016458519,0.0173937,0.010099655,0.0018338731,-0.022697128,-7.024596e-06,0.011412189,-0.008843763,-0.0058658086,-0.01790273,-0.0025237629,0.0042215455,0.0025259906,-0.013935412,-0.00507993,-0.011272775,-0.019908214,-0.010122783,-0.0010983541,0.01317763
PGD,0.060676284,-0.04936515,-0.06671766,0.0015678863,-0.009270802,-0.02319125,0.052763857,0.21545665,-0.0017520208,0.030979522,0.0019391156,-0.0014155759,0.011501293,-0.0010351395,-0.02519274,0.008719713,-0.024032619,0.06860155,0.015962895,-0.041155238,-0.07824169,-0.0074051167,0.013731049,-0.005610911,-0.01850251,-0.015647272,-0.008889427,-0.025717203,-0.015608472,-0.034338288,0.00078648643,-0.02211283,-0.023897031,0.012096231,0.042355,0.059710164
MASP2,-0.069860466,0.0028597482,0.02123025,0.002654739,-0.011693946,-0.003022497,-0.008503154,-0.019667419,-0.0026789985,-0.0043058516,0.001387612,0.0015767727,0.0007180777,-0.0010330727,-0.00019781652,0.0018001172,-0.00011234183,-0.005228701,-0.005178634,-0.007339203,-0.008802587,-0.0042649056,0.0010852915,-0.00045158,-0.0022006275,-0.00053967634,-0.0024985685,0.00036180505,0.002898893,0.0037882554,0.0010457785,0.0015911416,0.004128147,0.0019054916,0.0060880682,0.0016317675
SRM,-0.47374523,-0.054566097,0.8536969,0.08432097,0.058790118,-0.04493134,-0.47823334,-0.14822577,-0.012167949,-0.019783612,-0.06544332,-0.0041694487,-0.055051193,-0.025275018,0.06360128,-0.04930791,-0.100564696,0.013031959,-0.016419318,0.06336326,0.0010336664,-0.039496988,-0.0131266005,-0.12692259,-0.061929565,0.11917951,0.060849402,0.04062837,-0.0044044293,0.006729633,-0.020205228,0.009086357,0.055296827,-0.0033320624,-0.068607524,-0.01663129
DRAXIN,-0.028021473,-0.016166886,-0.0024094717,-0.009211939,6.481997e-05,-0.011979058,-0.014299512,0.010825004,0.0070889983,0.0002058046,0.0039552785,-0.0022635912,0.007297123,0.0077495365,-0.0052052625,-0.0039152745,0.0017117747,0.007873543,0.0015618458,0.0032555135,-0.0011611263,-0.0033072971,0.0028497907,-0.0027416565,0.003201019,0.0027267027,0.0029187107,-0.0060987985,0.0042739836,0.00081514724,-0.0026710932,-0.0035570902,-0.008796569,0.0015801716,0.0017608334,0.002176474
MTHFR,0.1836053,-0.012558511,-0.1353385,-0.054884102,-0.023316283,-0.0042431606,0.040770624,-0.0062413993,-0.004155555,0.01273249,-0.008346074,0.002805312,0.0014880073,-0.0024871477,0.008684256,0.0049382243,0.0121100005,-0.0037867068,0.009313813,0.016104726,0.019743204,-0.0005514206,-0.021193307,0.008834801,0.024166595,-0.0031072374,0.006524289,-0.013880469,0.0035754603,0.0021411448,-0.0059634154,0.011120905,-0.0017672274,0.009737498,-0.0034286676,-0.007014111
PDPN,-0.059336435,0.0038795338,-0.0076059643,0.0074199163,0.0037189317,-0.009529418,0.0073984014,-0.0047759134,0.0019753247,-0.0033842926,0.0033319169,0.008622649,-0.0063007628,-0.0017425101,0.003747171,-0.0007558438,-0.007700502,-0.0045354827,-0.00024013326,0.0031432419,0.000984377,-0.0044078394,0.004917405,-0.00056580536,-0.0037807846,-0.0028719357,-0.00035755808,0.00054772,-0.0023474975,0.005131355,0.0025311417,0.0062550586,0.0006994571,0.00013975006,-0.00015142676,-0.0015625192
CELA2A,0.09556265,0.016684929,-0.08969244,-0.045286074,0.012473572,0.042594485,0.05225483,-0.07079978,0.0027209856,-0.025248976,0.004812187,0.047779452,0.0047765737,0.023522884,-0.0050860387,0.008271015,0.057073843,-0.026957177,-0.02658438,-0.06053126,0.044289548,-0.016615137,-0.013722862,0.013928466,0.006029378,0.009047683,0.025995744,-0.041175216,0.05714249,0.005153958,0.0030387721,-0.016299218,-0.0140011525,0.01706449,0.0017043586,-0.0007822922
CELA2B,0.1461246,0.019839646,-0.0093590915,-0.0015787556,0.011812106,0.025198342,0.030014385,-0.021116933,0.0056524896,-0.012815842,-0.0017822833,0.008952235,0.007331362,0.014957181,-0.013731336,-0.009337993,-0.017896853,-0.00094440865,-0.00861568,-0.000351888,0.0028081248,0.003047695,0.016054941,0.0026107845,0.009897868,-0.0075552426,0.0012849811,-0.004560969,0.0027091978,0.008323062,-0.0055612163,0.016527288,-0.013646698,0.01413084,-0.026079837,0.015312913
TMEM82,0.019265618,-0.022453623,-0.01792662,0.0015149474,-0.025230078,0.0034722004,-0.01471563,-0.0017837092,-0.015959298,0.020704828,-0.0053039477,-0.004918167,-0.017028498,-0.0022790923,-0.0018352327,0.022468442,0.018462842,0.0085966475,-0.018229477,0.06881647,-0.037189573,0.0014009587,0.0017268122,0.00396754,0.011449051,0.0063423146,-0.006917736,-0.010312557,0.012415073,-0.015715685,-0.007064617,-0.019846827,0.015460352,0.036884192,-0.049709044,-0.00021573133
PLA2G2D,-0.0042144125,0.0072053205,-0.011759956,0.017634006,-0.014842428,0.0018159914,0.009040265,-0.010865685,-0.0028452047,0.0036218525,-0.0067749424,-0.005146349,-0.0019047088,-0.0051959553,0.008095137,-0.014118203,-0.008291267,-0.010408585,0.001734143,0.008275236,0.004124639,0.0016133626,0.012882039,-0.0072343783,0.009767029,-0.008862196,0.005187675,0.0070067733,0.0043818546,-0.0032743313,-0.0029845585,0.0021861596,0.008449406,-0.005006543,0.0014681689,-0.0026301167
PLA2G2C,0.054673634,-0.09522003,0.045454066,-0.0022888603,0.058590908,-0.24151736,0.19278038,0.19011833,0.016842416,-0.030098652,0.039247297,-0.03190238,0.10251902,-0.16217394,-0.15126526,-0.06788467,0.009546899,-0.09737799,0.1305678,0.018711634,-0.0656907,-0.035198715,-0.012946606,-0.051013526,-0.058796745,0.049891252,-0.09081375,0.16509666,0.048682675,-0.0246845,-0.062048636,-0.12534437,-0.17875364,0.18166044,0.2156636,0.11954081
CDA,-0.09344448,0.010699676,0.0027438647,-0.015416012,-0.003915934,0.019638699,0.03652726,0.01480677,-0.00386629,-0.013074656,0.0019752854,-0.009790017,0.0038440693,0.007860229,0.014662587,-0.001317754,0.0005038163,-0.0016834281,-0.0003417142,-0.008128494,-0.010043332,-0.013043468,0.0114525305,-0.006486328,-0.00638266,-0.014645708,-0.005100173,0.008181438,-0.008112348,-0.0035097138,-0.00459097,0.013824157,0.0067441873,0.017692642,0.023714833,-0.0011386393
HP1BP3,0.0003488864,0.015494593,-0.037559196,-0.01866857,0.056473605,-0.0040808814,-0.016057108,0.01788477,0.0021228616,-0.011085153,-0.0015311161,-0.009077815,0.008613657,0.0110235205,-0.013329467,-0.04059281,-0.007248721,-0.015003271,0.022222133,0.02617912,0.028197395,0.0003342045,-0.02005019,0.007641911,-0.005878045,0.019395223,0.008429739,-0.0052519585,0.0022882663,-0.026600618,0.0130252605,-0.0044939485,0.01089577,0.0073526814,0.0015767076,-0.009386541
CDC42,0.077736326,-0.0012590336,0.06518958,0.038835023,0.038170096,-0.0065268665,-0.019643316,0.035741065,-5.046131e-05,0.0050341445,-0.0012241281,-0.010972606,-0.0019336788,0.0010554426,-0.0045618503,0.0017694657,0.007180874,-0.0021195367,0.019871857,-0.022604108,-0.009832225,0.012311993,0.0006813284,0.002354947,-0.0027751632,0.010361298,0.010104949,-0.0022411793,0.016802475,0.00028236804,0.0068427143,-0.007719648,-0.010730116,0.0070348205,-0.0019285409,-0.0013664452
C1QB,-0.033437576,-0.0052445377,-0.00073157303,-0.0026510416,-0.009509495,-0.008980579,0.0031387832,-0.0035181867,0.002247344,-0.0052488414,0.0040410166,0.008962137,0.010469393,0.0015859557,0.001220337,-0.0058086547,-0.0013667293,-0.00043208856,-0.0037852274,0.0033000081,-0.0007714825,-0.00410788,0.00354911,0.0021003196,0.004580399,0.007207042,-0.00022436232,0.007809949,-0.0002724536,0.004626794,0.0062401392,0.004641847,0.0063763224,-0.0033342466,0.0007850231,-0.0038192414
ZNF436-AS1,-0.040855125,-0.018508539,-0.11676524,-0.059352826,-0.03797359,-0.010607492,0.046343163,-0.026900506,-0.002616771,0.0094617875,-0.00551477,-0.0061453152,-0.010325872,0.00033056334,0.0034721228,0.022902966,0.04312249,-0.017672628,0.014176945,0.0052506686,0.024467712,0.008708075,-0.0065502073,0.02724747,-0.013878219,0.002440178,-0.0060881306,-0.007696321,-0.00352428,0.004536262,-0.011046166,-0.0040926733,0.005034945,-0.001224166,-0.007139867,-0.012393616
ID3,0.30367896,-0.19953294,-0.3742038,-0.379589,0.25843227,-0.48963642,0.24829884,0.38517463,0.01137187,-0.033975165,0.023645278,-0.09910273,0.07800899,0.051070854,-0.11351228,0.0046517323,0.058873847,0.014524884,0.097862296,0.03946868,0.10354564,0.05004187,-0.10657099,0.22079363,-0.0015375388,0.01712172,-0.043178722,-0.23930565,0.031731557,0.051229794,0.10939857,-0.12008115,-0.12992701,-0.050837543,-0.051601898,-0.03165537
HMGCL,0.03125308,0.023049815,-0.1111171,-0.0060977456,0.014446846,0.027641432,0.10765412,-0.002836227,-0.00724066,0.0020899137,0.00047021772,0.0034359132,0.00085221435,-0.015591304,-0.0024403476,0.013678134,0.03421433,0.008412111,0.024528375,-0.031196682,0.0015965736,-0.007846264,-0.01067535,0.016600214,-0.020477407,-0.013035396,0.000750353,-0.0048570754,-0.013964632,-0.02156108,-0.0021843498,-0.019568171,0.0033809994,0.001191075,0.013667782,-0.00053090416
FUCA1,0.058644306,0.023373459,-0.11293083,0.0042108963,0.044793393,-0.0043373536,0.09182398,0.009733757,-0.009639865,-0.0058067823,-0.018431483,-0.015665263,-0.0069528674,-0.0018547876,0.0023612853,0.027923262,-0.006633761,-0.0041789063,0.030859007,-0.04075713,-0.02839776,0.00689418,-0.004956802,0.0014489008,-0.011546604,0.016814876,0.010716479,-0.00305316,0.015794436,-0.0073888497,-0.004167336,-0.02996122,0.011274651,0.0123254815,0.013844364,-0.011893735
CNR2,-0.010430066,-0.010832824,0.0032653562,-0.0035628555,-0.015641602,-0.018543918,-0.017622,-0.008439136,0.00028172863,0.0032803172,0.00097330025,0.0040628724,0.009062645,0.0039409003,0.0031961915,-0.0071372623,0.0043306076,-0.0008936827,0.0010764422,0.0056165373,0.0066961623,-0.000847563,-0.0067068175,0.0024710211,-0.0012858207,0.0020752558,0.019751227,-0.004604715,-0.014232317,-0.010727054,0.008287798,-0.0018228171,-0.002711823,-0.0046945624,-0.0029757393,-0.009593757
IL22RA1,0.07299144,-0.00055075914,0.009663063,-0.00027258674,0.007892466,-0.0048961747,0.0067265253,0.0061635105,-0.0009982317,0.006692101,-0.00531226,0.0031008066,-0.0015724424,0.0023292198,0.005005815,0.006656509,-0.0042634606,0.01269548,-0.009289588,0.00446081,0.009403619,0.0026061633,-0.00089499954,0.0024450265,-0.001458752,-0.0044913488,0.002132142,-0.008182017,0.003876559,0.007776649,0.00106292,-0.0009162543,-0.0050480664,-0.0023129089,0.0025939588,0.0014670517
SYF2,0.045994863,0.035915468,0.023667496,0.06507875,0.06516595,0.074802615,0.06674862,0.014724085,0.005770734,0.0129496325,0.023806086,-0.0023366916,0.00721876,-0.012527674,-0.022375636,0.008970658,0.03397541,0.023766164,0.024417516,-0.009944793,-0.014487247,0.019231046,0.02130948,0.031393174,0.0027014154,-0.042463597,-0.0085841715,-0.0065419683,-0.016501108,-0.007904223,-0.0013780965,-0.0075119417,-0.00878688,-0.011419989,0.0033854963,0.0035366449
RSRP1,0.1213537,0.016999379,-0.16657683,-0.01625234,-0.04772252,0.0028964605,0.09970124,-0.0086606275,0.0024670807,0.000549643,0.013008637,0.014535688,0.010542596,0.007676956,-0.025831701,0.023276199,0.030325934,0.011698341,0.0014345815,-0.021709604,-0.007421092,0.008067283,0.0020063613,0.039318647,0.016556945,-0.019904746,-0.0138038,-0.01384368,0.007700976,0.011211524,0.0013071384,-0.003134303,-0.0086116595,0.0022388347,0.0019253833,0.00039964236
MAN1C1,-0.0037841103,-0.0052103023,-0.008666411,-0.0009986649,0.0003142074,-0.008439549,0.004936895,0.022323778,-3.0661301e-06,0.0042807604,-0.003441639,0.00062927074,-0.0010423233,-0.003749004,-0.0041889194,-0.01042025,-0.0124479905,0.0062031522,0.0025388089,0.008646669,-0.002416921,0.0021546842,-0.0061737923,0.0027408688,0.001997892,0.001318639,-0.00026338876,0.0012346881,-0.0031685682,-0.0008641238,0.0016822452,-0.000547854,-0.006070801,-0.0011686647,-0.0011111725,0.0026601744
PAQR7,-0.0061065746,-0.004892754,-0.0075793085,-0.008298207,-0.012129865,-0.012301357,-0.008833619,0.00035342848,0.00027394303,0.00015579566,-0.0028425616,0.0040975804,-0.0020948092,-0.0021893391,-0.00059653993,-0.002149945,0.0031197236,-0.0153263705,0.0042944537,0.0065120696,0.012234358,-0.000673637,-0.009994127,0.003280224,0.009632155,0.0015351083,-0.0051927804,-0.0072891684,0.010576264,0.0021700256,0.0026784958,0.0100246705,0.00592956,-0.0025416752,-0.000414702,0.0018933427
STMN1,-0.24902257,0.048862074,0.54537785,0.13778464,0.07221288,0.034847144,-0.28403997,-0.094628885,-0.015822824,-0.009280579,-0.023622356,-0.022775223,-0.042818937,-0.04120166,0.023040539,-0.1191926,-0.05254073,-0.024025053,0.042385798,0.1199018,0.027741166,-0.010624774,0.0026375954,-0.09859149,-0.06470272,0.06574305,0.05888948,-0.008668892,-0.04771784,-0.036262132,-0.0010774375,-0.06871463,0.053647626,-0.057834126,-0.022942124,0.007022597
EXTL1,0.029921722,-0.0011295154,-0.06420877,0.015454378,-0.002891389,-0.009604421,0.03667176,0.01845484,-0.0035930083,-0.00465041,0.0032334283,-0.0068019833,0.00092792755,0.0020898585,-0.0074364645,0.008952801,-0.008009572,0.028849034,-0.007885143,-0.01736243,0.013562127,-0.0042929025,-0.008989259,0.009427106,-0.008337259,-0.0064368565,0.0007755221,-0.00831599,-0.0001527777,0.010118861,0.0025722997,-0.0011145427,-0.0044411565,0.00021363543,-0.018839002,-0.00086385116
TRIM63,0.054976106,-0.0068805786,-0.0129116755,0.008391885,0.03169478,0.0059275553,0.009017899,0.006652737,-0.0041853334,0.012588656,0.0024963138,-0.002159905,0.0032868502,-0.001963018,-0.0051648207,-0.00602202,-0.012047753,0.016349642,0.0010680126,0.011002833,0.0071456037,0.0035484603,-0.00027443792,0.0043507493,0.0059985314,-0.0015935927,-0.0019149639,-0.00641918,-0.008964124,0.0046330546,-0.004862154,-0.011501128,-0.01952731,-0.010411084,-0.004882175,-0.00035781035
SH3BGRL3,0.33819482,0.040164344,-0.37601784,-0.0056196125,0.18448809,0.046488274,0.25780502,0.16420363,0.006842153,-0.03770641,0.024176653,0.014978059,0.029992044,0.034288384,-0.07161196,0.01581948,-0.0034249092,0.0574585,-0.029739132,-0.037211236,0.050897516,0.01792913,0.025296306,0.066020474,0.03933777,-0.060134668,-0.0039484254,-0.0008103067,0.017170073,-0.03758976,0.00597748,-0.022352582,-0.042801864,0.0017042569,0.037279695,0.00040398815
CD52,0.26371846,0.018098742,-0.4723575,-0.032683246,0.12541075,0.10079046,0.37051082,0.120654225,0.029438313,-0.016670026,0.033082247,-0.02325601,0.0329477,0.02141625,-0.019296506,0.04037632,0.009235805,0.038991563,-0.03609027,-0.1189872,0.028785426,0.0001259081,0.023148078,0.048647977,0.021450574,-0.02622829,6.325638e-05,-0.028488232,0.042425286,-0.03590949,-0.018526955,-0.007025077,-0.030094964,0.03218033,0.059565064,0.028359307
LIN28A,-0.0067006564,0.008303208,0.010706789,-0.00626367,0.00454152,0.008793989,0.0020716337,0.00012508778,-0.0001062471,0.0092083635,-0.0004260193,0.0020737913,-0.0016988132,-0.005924463,0.0038065268,0.004504314,-0.010964921,0.0063868235,0.003651357,-0.00029945272,0.0056731133,-0.000941271,-0.0015899993,-0.0033480478,0.0002478723,-0.002060213,-0.0019519061,0.0023799124,-0.0031254578,0.0021211249,0.00033859359,-0.004358102,0.00028397606,-0.0029951124,0.0038140863,0.0023345165
HMGN2,-0.28533128,-0.06589017,0.49397475,0.059719045,0.015956497,-0.14999151,-0.3783506,-0.012417609,-0.003134146,0.017738795,-0.053902984,0.0010716363,-0.024324497,-0.023914982,0.04310092,-0.13353293,-0.052974384,-0.049079664,0.019517908,0.11256235,0.009629308,-0.035382695,-0.028510207,-0.1196867,-0.083515294,0.11142744,0.08221029,0.0335889,0.03257166,-0.074071124,-0.008433192,-0.0139855305,0.0497694,-0.013754329,-0.036508627,0.031249227
NUDC,-0.20223562,0.03057553,0.5148612,0.10762836,0.16655208,0.06635681,-0.2099524,-0.061345108,-0.0034667847,-0.010984298,-0.024089517,-0.023250395,-0.025615301,-0.024657207,0.01218684,0.023894653,0.0045646606,0.04854722,0.0289556,-0.01594111,-0.010248758,-0.008499493,0.001624731,-0.03351445,-0.0496175,0.04334127,0.025696507,-0.0076014833,-0.047130376,-0.018253138,-0.019386195,-0.040776804,0.0099172015,-0.009802969,-0.03058236,0.0011546435
