gene_symbols,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16,phi_17,phi_18,phi_19,phi_20,phi_21,phi_22,phi_23,phi_24,phi_25,phi_26,phi_27,phi_28,phi_29,phi_30,phi_31,phi_32,phi_33,phi_34,phi_35,phi_36,phi_37,phi_38,phi_39,phi_40,phi_41,phi_42,phi_43,phi_44,phi_45,phi_46,phi_47,phi_48,phi_49,phi_50,phi_51,phi_52,phi_53,phi_54,phi_55,phi_56,phi_57,phi_58,phi_59,phi_60,phi_61,phi_62,phi_63,phi_64,phi_65
HES2,-5.2959884e-05,-0.004295646,-0.006271846,0.008619973,0.0013359247,-0.011453737,0.00017293677,-6.6473185e-05,0.0041202307,-0.000337147,0.01259255,-0.0014862187,-0.0031872934,0.0024957042,-0.00046231083,-0.00034824296,-0.0048007774,0.0076075126,-0.0017236379,0.0039479206,-0.0008539364,0.00067637296,-0.0024181113,-0.003948111,0.0008746004,0.0045667966,-0.0051324037,-0.0037007623,-0.006198358,0.0040285056,6.000257e-05,0.0027327498,-0.0021280914,-0.0077017094,-0.0001573862,-0.0006921187,0.0006270464,0.0019088784,-0.00093722023,0.000924434,-0.002791951,0.0026624647,0.0048204926,0.00466124,0.0064247944,-0.0017887775,0.00084139616,0.0075147445,0.00050486194,-0.005106317,-0.0028677622,-0.003143188,0.0090310415,-0.00016834585,-2.6406997e-05,-0.0054587997,0.002665565,0.0027720395,-0.00030029094,-0.0070675905,0.00056775747,0.0006243366,-0.0024973566,0.004443283,0.0027399894,0.004123587
ESPN,0.0011512459,-0.0048786397,-0.00039659065,-0.0063563674,-0.004411151,-0.0040081623,-0.0054248963,0.0015597873,-0.0009507912,0.0062082238,0.0011861545,0.0014308487,0.006732974,-0.002004106,0.0021753293,-0.002194982,0.0030518512,-0.0019307069,-0.0034994448,-0.0023123648,-0.007986442,-0.005405147,-0.0052074753,-0.0052811936,0.00066860963,0.0011873074,-0.0033773107,0.002476,0.0006911793,-0.0047603645,0.0055377865,0.007010463,0.00349976,-0.00020917311,0.0015696915,0.0013782416,-0.010244069,0.00019205366,0.003994943,0.0068282126,-0.0028133201,0.0036665224,-0.0087567875,-0.009854606,-0.00088274246,-0.0010317034,0.00097095495,-0.0005709041,-0.0007953805,-0.003348008,-0.0009989635,0.0006241278,-0.004292645,-0.0011679111,0.0037598696,-0.0010989392,-0.0038509336,-0.0006346319,-0.0011659267,-0.0031824831,0.0017930556,0.0015822983,-0.0038228782,0.0054520885,-0.0018883145,-5.8709902e-05
TNFRSF9,-0.009973719,-0.009871462,-0.0020362586,0.008528493,0.002205416,-4.1992356e-05,0.0068036728,0.009545178,-0.00650714,-0.0017884942,-0.009833569,0.01234257,-0.0013147644,0.005272683,-0.010313541,0.0037545222,-0.014849106,-0.012303488,0.015412953,0.0066859266,-0.008913566,-0.0141394995,-5.148531e-05,-0.0023171017,-0.0019805273,-0.01341317,-0.000347204,-0.010411048,0.01416772,0.0137041155,0.001606893,0.00077878195,0.020836407,0.023180472,0.0052702283,-0.009030257,-0.004239209,-0.032549188,-0.008070825,-0.009835874,-0.004084584,0.0040893476,0.009174196,-0.00042713236,0.012319307,0.012126312,0.016909176,-0.013636749,-0.0076471865,-0.01687991,-0.054337893,-0.0053125285,-0.00091699115,0.0054492024,0.0065715904,-0.01008187,0.0001866247,-0.008194324,-0.011380619,-0.008293093,-0.0042183935,0.0027109452,0.005811255,-0.0024248485,-0.011583649,0.046376187
ENO1,0.021417366,-0.015001698,0.027479276,0.029494796,-0.03701509,-0.028590089,0.010170544,-0.069092676,-0.07299138,0.014616331,0.054885536,0.00850879,0.020813921,-0.0053167166,-0.01734309,0.017461464,0.017229661,0.02823771,0.009003825,-0.011568111,-0.009790987,-0.008711003,-0.012204783,0.00230782,0.028846608,-0.031944986,-0.0029701148,-0.011461698,-0.004831559,0.0012059882,-0.0137209045,0.01989509,0.008042274,-0.02592313,0.0055896435,0.010670245,-0.004277598,0.0024215786,-0.030767148,-0.025702227,0.072542295,-0.026743865,-0.015958572,-0.008670909,-0.00036852018,-0.008254324,0.033828277,0.0006406831,-0.013677567,0.013791456,0.0042831027,-0.044123527,0.08158732,0.066169575,-0.037401687,-0.057140086,0.016734902,0.012185354,0.020599933,-0.037733138,0.012075591,-0.0018377198,-0.01377711,-0.010303489,-0.009722378,0.010445079
GPR157,-6.6704655e-05,0.0016786078,0.0016843238,0.0020033172,-0.0013024765,-0.0020948478,0.00056684064,-0.00021085337,0.0004351209,-0.0041477233,0.0011063963,-0.0013805194,-0.0010966952,-0.0013762399,-4.346949e-05,0.0017944432,0.0012690889,0.003416895,0.00022946426,0.0020566767,0.003736552,-0.0047533284,0.000928408,0.000756026,-0.00028999435,-4.962464e-05,-0.00017569646,0.00057525653,-0.0010544461,0.0010373383,-0.0005055369,0.0005352959,0.0015426222,-0.00063743687,-0.0011945158,0.00079104945,-0.0028311107,-0.0012799058,-0.0009269505,-0.00276305,0.0014409882,0.00014874765,-0.0014002084,-6.7400644e-05,-0.0014982846,-0.00045172882,0.002884233,-0.001885816,0.0027850247,0.0017498404,0.00080311095,-0.0006144768,0.0008700394,0.0012787852,0.0024726654,-0.0020200477,-0.0011551728,-0.0019640122,0.0018859049,-0.0055752355,-0.002608771,0.0033455738,0.00061764393,0.0011739653,0.0033258204,-6.8451256e-05
H6PD,0.00088549283,0.0049537728,0.00030188548,0.00162917,0.0034949633,-0.0018554175,-0.0051117814,0.009627198,-0.0055475864,-0.0051479004,0.001225597,0.004096206,-0.0045626834,-0.0046130037,0.0002968119,0.003427613,0.00429341,0.0056344355,-0.00420588,-1.9149767e-05,0.0023726341,0.00033974482,0.0028871251,0.0059176185,-0.0057395985,0.0024894269,0.0025802369,-0.0038944536,-0.0010457307,-0.00052596745,-0.0008636005,0.001169288,-0.0038180277,0.0025539356,-0.0044985116,-0.004273462,0.003241469,0.00082498306,0.0042212447,0.0017789515,-0.0041183284,-0.0025895427,-0.00028240494,-0.0056898175,0.00028689415,0.0025282118,-0.002944214,0.004680129,0.0070832307,-0.0052067265,0.0066701737,-0.0057201926,-0.004483023,-0.00076644495,0.009559527,-0.0038527506,-0.0012127472,0.003216696,0.0018020814,0.008624684,0.0009082873,0.0015735977,0.004854651,0.00075053796,-0.0037579471,9.187489e-05
PGD,-0.0064829243,-0.0010604188,0.0053436058,-0.002899076,-0.010623775,-0.0010352907,0.0064726784,-0.004518447,-0.00084846123,-0.00061288534,0.00039140487,0.005495877,0.007973085,0.0038122055,-0.013156013,-0.0045036455,0.0077719176,0.005378158,-0.011141477,0.0045628734,-0.00095949473,-0.0024522166,-0.00562241,-0.0016777643,-0.001809038,0.0011371869,0.0063615046,-0.008508986,-0.0057300646,0.0027442037,0.0017695726,-0.007214524,0.0013239445,0.008413627,0.013365978,-0.003511772,-0.0010852149,0.0055785775,0.0021095998,0.006332549,0.0010086542,-0.012198707,0.017403115,-0.0009368338,-0.003961431,0.0034198454,-0.0048200865,-0.0007379069,0.0049806507,-0.006829243,-0.0040983637,-0.004129105,0.015176018,-0.010551311,0.0015175142,0.003045075,0.0038941721,-0.008656184,0.0063794707,-0.003999685,0.011646004,-0.0056969314,-0.0068559437,-0.0035304015,0.004423265,0.003421222
MASP2,-0.0011963306,0.0026788656,-0.00033553946,-0.0016721201,-0.0013060676,-0.001459277,0.0019395662,-0.00056474697,-0.0010683166,-0.00043815273,0.00089649163,0.001207435,-0.002408239,0.0001348008,-0.00079751277,0.0022766474,0.0004991017,0.0022098015,0.0022778981,-0.0028930816,0.0011945419,0.0013103166,0.0007082218,0.00055781717,0.00094470225,-0.0017048093,0.003053815,0.0013436605,-0.0023271958,0.00035765127,0.0011429345,0.00021360358,-0.00087750866,-0.0013187063,-0.0011102299,-0.0005473249,0.0013090919,0.0004510147,0.0019066769,-0.0013143645,-0.003797142,-0.0013259365,0.0020157904,-0.001792254,0.00071752997,-0.00075630046,0.0023832482,-0.00024156278,-0.003073611,0.003003313,-0.0019253321,-0.0007608271,-0.00051998417,-0.0025741858,-0.0008710086,-0.0019380942,-0.0007767895,0.00052445376,0.0023344953,-0.0010681723,-0.0016813449,0.0027784829,-0.0009463669,-0.0011746574,0.00020129362,-0.0006910588
SRM,0.012698194,0.008173342,0.0043354672,0.04545663,-0.021814678,-0.010354375,-0.0051038605,-0.041183986,-0.04621742,0.001377517,0.006205922,0.0011687009,0.003350575,-0.013066493,0.004954098,0.007790483,-0.017201954,0.012653316,0.0065506785,0.003942231,0.0005111681,0.0023942045,0.007174692,-0.01307282,0.01358111,0.0034205823,-0.006627385,0.0030118444,-0.0003899923,-0.0031555977,-0.029242482,0.024089381,0.012832642,-0.05751444,0.006149162,0.0071479212,-0.009966422,0.025017202,-0.015950926,-0.024325198,0.046359334,-0.014924943,-0.04023745,0.0018375452,-0.004748678,-0.013209945,0.02604909,-0.0034133394,-0.016625298,0.014015413,-0.0043729525,-0.017154612,0.057386037,0.04272,-0.0059471126,-0.0034288713,-0.0010149624,0.014873711,0.016700735,-0.027393756,0.006423566,0.006889048,-0.0024435527,-0.011981389,-0.000563215,-0.0068129343
DRAXIN,-0.0004916242,-0.0016140847,-0.000455679,-2.2684122e-05,0.00024781754,-0.0005990928,-0.0006281769,0.0020328767,0.0010259559,-0.0018793417,-0.0009963271,-0.00026917085,0.0027873574,0.00085078203,-0.0004985576,-0.0008938416,-0.00020857384,0.00038729864,-0.00022544606,0.0025802078,0.0009095314,0.0025958589,-0.00089426315,0.0017462993,0.0015404514,-0.0024931568,-0.0028104156,0.001079205,-0.0012872098,-0.0008635669,-4.719247e-05,-0.00024100176,4.0102157e-05,0.0009618606,0.0016822614,-0.0005375735,-0.0014830404,0.00021190303,-0.0014299827,-0.0019198989,0.0013497488,0.0009876728,-0.0014647829,0.0011773278,0.0019147083,8.208784e-05,-0.0015230856,-0.00040899133,0.00073075,-0.004921818,-0.00071719015,-0.002057958,0.00034695424,0.00045898743,0.0021058533,0.0028420545,0.0019309703,-0.0031278613,0.0008959898,0.00022634337,-0.00025947407,0.00089763204,0.00020102142,0.0010748134,0.0014120518,-0.0005737992
MTHFR,-0.007058635,-0.0037532803,0.0005817061,-0.0060900976,0.0038990637,0.0071434933,0.0038825788,0.009151091,0.009030344,-0.0038686667,-0.010283125,-0.0011515233,-0.0031490505,-0.0019042034,0.0017783598,-0.002303032,0.0013797447,-0.005127954,-0.0017803613,-0.0013711215,0.0036007152,0.0011533935,0.0040336424,0.0023938047,-0.0037880524,0.0058040484,0.0015588785,-0.00020008445,-0.001949716,0.0026889055,-0.0032330914,-0.0024449446,-0.0042907977,0.002323561,-0.0012129156,0.0016327625,-0.0010801868,0.0007309974,0.0035329273,0.0019078318,-0.0077531114,7.4803196e-05,-0.001533612,-0.0021765102,-0.0016545394,0.000102944316,-0.005169963,-0.0025788383,0.0037536633,0.001181252,0.0052043884,0.007922243,-0.015201066,-0.00090655347,0.007774955,0.005835709,-0.0055598575,0.002452478,-0.0025675336,-0.0011095245,-0.0011757696,0.0023143159,0.0019124483,0.0038157534,-0.004055232,-0.0014875585
PDPN,0.00088196265,0.00038408296,-0.002386794,-0.0027876005,-0.0005247572,0.0014170564,0.00015209246,0.0023064986,-0.00072888593,-0.002261539,0.0010802473,0.0010793844,0.0011359552,0.0008387239,0.0011973652,-0.00047018187,0.00033264683,-0.0007061728,0.0012122409,0.0006257154,0.0012891786,0.00012736183,-0.0014808526,0.00087338476,0.0009504469,0.0005812586,0.0015033749,0.0003819426,0.0001582147,-4.0997966e-05,-0.0007260679,0.0004334192,0.001018583,-0.0009420577,0.00030436003,0.0011013002,-0.0015575093,-0.00016898649,0.00045959713,0.0011760299,-0.00034265599,0.00038469362,-0.0009926041,-0.0004708026,-9.198112e-05,-0.0007305592,0.0003495895,-0.0010364553,0.0009052172,0.0007753785,0.00049726985,-0.0012217691,-0.0006896674,0.00037866022,-0.00027543126,0.000581362,0.0003286744,-0.0015986891,-0.00063874177,-0.0006654296,-0.00027881365,0.0007714927,-0.00015542988,-0.00011555214,-0.00034597996,-0.0015520814
CELA2A,-0.0026204528,0.0024898509,0.00034549815,0.0021790275,0.0012301041,-0.00588181,0.010692245,-0.004419761,-0.009321248,0.0012126176,-0.0009348895,-0.004978848,0.0051153963,0.01285614,-0.00083633495,-0.003372113,0.0056558875,-0.00794932,1.6501499e-05,-0.00296647,-0.002891879,0.004505048,-0.0051654754,0.002228747,0.0032463102,-0.0034071645,-0.001992691,0.005708777,-0.0011146187,-0.008737402,-0.0065411306,-0.010557647,9.342702e-05,0.007815607,-0.003685226,-0.0023695987,0.0040076515,-0.006284633,-0.0018262662,-0.00018708808,-0.0056376928,0.0053770537,0.0018965204,-0.0053225798,0.010367736,0.0013105327,-0.0052376706,-0.0021922432,-0.0003102723,-0.0013052146,0.007217017,0.010711191,-0.029175099,-0.0048719463,0.00091859704,-0.013887566,0.0043133986,0.007008424,-0.008339356,0.023502525,0.00044846185,-0.0046452396,0.0087558525,0.00037928426,0.00095915725,-0.0036061367
CELA2B,-0.00085109,0.0023243774,-0.002039454,-0.0028382456,-0.0052063293,0.0048843403,0.002472674,-0.0009921852,0.00014993036,-0.0017865242,-0.0022013534,0.0041865776,-0.002717128,-0.002705049,-0.012252796,0.002991226,0.0019640855,-0.0037281157,0.0038904217,-0.00066979724,-0.0047825687,0.00012151313,-0.0023264247,0.009709408,-0.005925464,-0.00275371,-0.0010376201,-0.0035950127,0.0014217283,0.004231126,-0.0033658354,-0.0016122053,-0.0025269915,0.0015399338,0.00048805113,-0.003289985,-0.0045693764,7.560493e-05,0.0067462274,-0.010331359,-0.006490445,-0.0024000837,0.0023941735,-0.0051785493,0.014080795,0.00075831567,0.007222845,0.0028089904,-0.0010942804,-0.004604473,-0.010764294,-0.0024194275,0.0014419424,0.0009027269,-0.0014077186,-0.0038681158,-0.0004798044,-0.0004164936,-0.002273095,0.0037487447,-0.006167671,0.00093877653,0.0032578087,-0.007097163,-0.0015524894,0.0050023757
PLA2G2C,-0.008597506,0.008654697,0.010077008,0.012615929,-0.012070551,-0.02613242,-0.0057118516,0.019830443,-0.00535617,-0.016697329,0.010717579,-0.043487173,0.032310516,-0.020832676,0.009548808,-0.0040008365,0.0016597778,0.02636932,-0.059245516,0.027917322,-0.080243684,0.03045327,0.006694222,-0.027450614,-0.043144565,-0.009086879,0.08008717,-0.0101774195,-0.07456785,-0.054068007,-0.005185034,0.016758166,0.028480167,0.024922077,0.015967287,-0.027735494,0.0024429983,-0.014750286,-0.0006162025,0.022617178,-0.0049377745,-0.021530911,0.0599492,0.014616895,0.04807797,-0.0040682093,-0.031423055,-0.040157508,0.017610768,0.015580455,0.04833407,-0.013795324,0.015991768,0.00053866324,-0.016951581,0.025039585,0.052364837,-0.03869444,-0.061310574,-0.037632696,0.022985281,-0.018825695,0.023629842,0.030503504,0.03114791,-0.0100988895
HP1BP3,-0.0013955858,-0.0015879212,0.0080921585,-0.0054742605,-0.001286193,0.0064590815,-0.0010614098,0.008561422,0.0062338514,-0.0038088537,-0.0040105446,0.0006184634,-0.0005647926,-0.002471033,-0.0026230128,-0.0009340977,0.002515128,0.00020709887,0.0014798654,-0.004398862,-0.0047356375,0.0012742863,-0.0027025416,0.0070714494,0.001275976,-0.0043976,0.0012323763,-0.0031210554,0.003655673,-0.0029007262,0.0020742104,-0.0004069833,0.00033775563,0.0010537792,0.0016368862,0.0034049856,-0.0037975085,-0.0023985167,0.0006228733,-0.0014476662,0.006149115,-0.002983982,-0.00081026467,-0.00069292355,-0.0052179038,-0.0020495898,-0.0056939833,-0.003654483,0.0024054872,0.000107643005,0.0034868475,0.007115923,-0.008432022,0.0035659946,0.0024287917,-0.002163763,-0.0026110262,-0.0022355686,0.00052141096,-0.0015407597,-0.004548792,0.00073366263,0.0011979595,0.006320311,-0.001314855,-0.00092625077
CDC42,-0.00042101674,-0.0029783947,0.00057459663,0.0017668465,-0.0070888367,-0.0021023368,0.003026841,-0.008288189,-0.00033173946,0.0046103057,0.0016958456,-0.0011276146,0.00065965834,-0.0003490878,-0.00075882615,0.0051556104,0.0023204486,0.0026228228,0.0022534868,0.0034546463,-0.004248907,0.0009826415,0.0017901149,-9.8623124e-05,0.0045573013,-0.007211671,0.004398596,-0.0023557488,0.006036754,0.0017284097,0.0016893995,0.003090703,-0.00011191377,0.0006454027,0.00224021,-0.0002654441,0.00064480363,-0.0029162106,-0.0053376816,-0.0013172138,0.008746089,-0.0074812924,0.003439986,-0.000722517,-0.0044651246,-0.0010147749,-0.00013627259,0.001901291,0.00119657,0.0027379058,0.0019575018,-0.0010057886,0.007367627,0.0006616827,-0.004893562,-0.006291696,0.0014572486,0.0011681012,-0.0036679818,-0.004946455,0.0019972543,-0.0027663,-0.0060357656,-0.0005447721,-0.0014668234,0.0055457377
