,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16,phi_17,phi_18,phi_19,phi_20,phi_21,phi_22,phi_23,phi_24,phi_25,phi_26,phi_27
ADRB3,0.0009883164,1.2055468e-08,-9.843074e-10,5.3538747e-09,0.002173856,-1.6728968e-08,0.0007416785,2.2947192e-15,3.6278137e-14,4.5760555e-14,-3.7781934e-08,1.1301563e-13,-1.1009072e-08,-2.5192065e-16,-2.9674785e-15,-1.4319631e-09,2.0597512e-14,4.831731e-09,-8.817449e-15,6.430122e-09,1.4224793e-14,-3.586462e-09,0.0011446662,-2.446012e-08,-0.0004808436,-1.8735774e-14,-1.1433618e-09,-0.0017065767
ADTRP,-0.0003578892,-1.006911e-07,-8.207999e-09,1.53055e-09,-0.00090264494,-1.7549366e-08,-0.00031530042,-2.1263776e-12,5.0376044e-14,-1.029127e-13,-1.8996358e-08,-2.0683718e-13,2.938244e-07,7.444059e-15,6.400056e-15,-2.0399094e-09,2.4667961e-14,7.878599e-09,5.0938027e-14,9.540285e-08,1.6611197e-15,2.0716993e-09,-0.002397813,-5.3487788e-09,0.002763285,-3.0653845e-14,2.9139667e-08,-0.001570633
AFF2,0.00037895818,-1.1121279e-07,-7.705159e-09,3.3507984e-08,0.008265678,-5.8575587e-08,0.007836087,7.381381e-12,-4.060573e-14,-3.1966077e-13,-5.556611e-09,1.4258651e-12,-1.3447328e-08,9.81646e-15,-1.050551e-14,4.636945e-09,-4.623219e-15,-6.9913293e-09,-8.1924735e-14,9.64588e-08,-1.8320164e-13,-3.2644814e-09,0.01572916,6.407708e-09,0.004955492,4.1522759e-13,3.8337724e-09,-0.017106196
AFF3,-0.0049367496,6.0072516e-08,3.953089e-09,-5.5343627e-08,-0.0017573477,6.3815655e-08,0.0016228298,-2.951656e-12,9.317854e-14,9.685358e-13,-4.250945e-08,-1.6558692e-12,2.2200614e-07,1.0641395e-15,-1.6665465e-14,-2.9401452e-08,4.4083637e-14,1.6838326e-08,-1.9742187e-13,-9.354853e-08,2.586911e-13,-3.1442237e-08,0.003318029,-4.7592348e-08,-0.008109702,-3.8108877e-13,7.800149e-08,0.008496436
AGAP12P,-0.0008436682,1.815769e-07,-5.3690896e-09,-1.5486792e-09,-0.0009235514,1.4569976e-08,-2.6447677e-05,1.7740712e-12,-5.1760214e-15,3.8623222e-14,3.6671493e-09,1.7106885e-13,-2.20693e-07,2.8906242e-15,4.5350076e-15,-2.9619238e-09,3.8885716e-15,5.618591e-09,-3.0577767e-17,5.911812e-10,1.6077761e-13,-2.679501e-09,0.001912906,-3.4168565e-10,0.00064630416,-9.68278e-16,-1.8196955e-08,0.00204205
AGAP2-AS1,0.00024893627,1.0748867e-07,2.5864417e-09,-1.2083167e-08,0.0015112301,4.9790508e-08,0.0015536157,-1.0630513e-12,1.9313605e-13,3.0421791e-13,2.5322421e-07,-1.6071892e-13,-3.132357e-07,-7.323398e-16,-1.4767035e-14,1.0946771e-08,-6.8916566e-15,6.012751e-09,-2.6369765e-14,-2.3595232e-08,1.03712456e-13,-5.0155563e-10,-0.0024539295,8.208205e-08,-0.0015035676,-2.199484e-13,-4.2806505e-09,-0.001615996
AGBL4,-0.0025595205,-1.5020133e-07,8.586503e-09,-2.4591817e-09,0.004392839,1.8589374e-08,0.007960707,-2.1442845e-12,2.642699e-13,2.565582e-13,2.367361e-08,-7.087443e-13,3.062001e-07,-6.0082575e-15,1.145259e-14,8.922687e-09,-1.2765988e-14,-1.4331331e-08,-4.784621e-14,-4.607074e-08,1.4414343e-13,-2.5209621e-08,0.011804896,1.3134256e-08,0.005335907,-3.5290054e-13,1.4778977e-08,-0.010654928
AGRN,3.1955988e-05,-1.6502108e-07,1.7123083e-08,3.841524e-09,0.005007478,-6.8061783e-09,0.00392795,-1.2160025e-11,3.2607386e-13,4.2730966e-13,6.3487654e-08,-1.4269849e-12,2.5341038e-07,5.5838936e-15,2.0240891e-16,1.1591716e-09,2.3831367e-14,-3.717963e-08,-1.4352233e-14,-4.4361364e-08,1.09257296e-13,-1.0294009e-08,0.0056931823,6.528876e-09,-0.002894832,-2.6909668e-13,4.5620087e-08,-0.005580957
AGRP,-0.002578853,5.1823367e-08,-1.9410231e-09,5.1977422e-09,-0.003679159,4.8173746e-08,0.00045715438,-1.966242e-12,-2.131924e-14,3.7016492e-13,1.1239154e-07,-7.9550467e-13,1.349289e-08,-2.72499e-16,-5.0724034e-15,8.818509e-09,3.8611705e-15,-1.1593947e-08,-3.187237e-14,6.126414e-09,8.6483114e-15,3.3364351e-09,8.036532e-06,6.025477e-08,0.0026602016,-2.7559666e-13,2.8265383e-08,-0.0005985456
AGT,0.0009186547,-6.5111215e-07,1.6958294e-08,-1.1520698e-08,0.0015221575,-2.0677895e-08,-0.00063174806,-1.3826871e-11,4.92623e-13,-1.2137791e-13,-1.1908929e-07,-1.1601719e-12,1.0486788e-06,-2.004718e-14,-8.94566e-15,2.32243e-10,1.5018396e-14,7.049033e-09,1.6396535e-14,7.418846e-09,-1.8538671e-14,5.090706e-09,-0.0010462081,-2.688354e-08,-0.0034894438,-6.99944e-14,2.1050129e-08,0.00038644366
AHDC1,-0.0025606807,-1.0433144e-07,5.3228857e-09,3.788551e-08,0.0022968142,-8.787076e-08,0.006206777,-1.3873752e-12,-1.8323218e-14,-6.394287e-13,-1.5175802e-08,1.5944132e-12,1.2334947e-07,3.7910267e-14,-4.8537875e-14,2.0780126e-08,3.1514362e-14,-1.1403046e-08,-4.734902e-14,3.375234e-09,1.4142367e-14,-2.7708765e-08,0.00483226,8.623415e-09,0.0062626116,6.021235e-13,-2.8796427e-08,-0.0068358276
AHNAK,-0.00479216,-1.8705356e-07,-5.171652e-09,9.4559605e-09,-0.0073402105,-1.976754e-08,-0.0071036536,-2.7556791e-12,-2.0039459e-13,-1.5399794e-13,3.1919033e-08,2.1260885e-13,1.1094235e-07,-7.272367e-15,-6.3716033e-15,1.9635116e-09,2.7562698e-14,-1.07096865e-08,1.3149176e-14,3.806444e-08,-7.208581e-14,-1.3604892e-08,-0.006952701,-3.2787524e-09,0.0068837227,1.0200302e-13,9.710857e-09,0.014031103
AIG1,0.0027817816,-2.6936897e-07,4.7442816e-10,2.7303115e-09,0.02052898,-1.0133366e-07,0.01752927,9.670785e-13,-3.0695647e-14,7.733345e-13,-1.6467806e-07,3.9787956e-13,3.1919757e-07,1.725613e-14,6.3587687e-15,3.059539e-09,4.4304224e-14,-5.4818035e-09,7.4254615e-14,5.0663044e-08,-1.5132439e-13,-1.282345e-08,0.028656079,-8.560668e-08,0.0041535287,6.035847e-13,4.7703505e-08,-0.033079207
