,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16,phi_17,phi_18,phi_19,phi_20,phi_21,phi_22,phi_23,phi_24,phi_25,phi_26,phi_27,phi_28,phi_29,phi_30,phi_31,phi_32,phi_33,phi_34,phi_35,phi_36,phi_37,phi_38,phi_39,phi_40,phi_41,phi_42,phi_43,phi_44,phi_45,phi_46,phi_47,phi_48,phi_49,phi_50,phi_51,phi_52,phi_53,phi_54,phi_55,phi_56,phi_57,phi_58,phi_59,phi_60,phi_61,phi_62,phi_63,phi_64,phi_65,phi_66,phi_67,phi_68,phi_69,phi_70,phi_71,phi_72,phi_73,phi_74,phi_75,phi_76,phi_77,phi_78,phi_79,phi_80,phi_81,phi_82,phi_83,phi_84,phi_85,phi_86,phi_87,phi_88,phi_89,phi_90,phi_91,phi_92,phi_93,phi_94,phi_95,phi_96,phi_97,phi_98,phi_99,phi_100,phi_101,phi_102,phi_103,phi_104,phi_105,phi_106,phi_107,phi_108,phi_109,phi_110,phi_111,phi_112,phi_113,phi_114,phi_115,phi_116,phi_117,phi_118,phi_119,phi_120,phi_121,phi_122,phi_123,phi_124,phi_125,phi_126,phi_127,phi_128,phi_129,phi_130,phi_131,phi_132,phi_133,phi_134,phi_135
GALNT18,-0.00018931112,0.00027439845,-0.003425984,0.0005715264,0.0005890546,0.0005813554,-0.00191121,-0.00010672737,0.0002995517,0.0005827398,-0.0011334128,0.00027724504,0.00045118033,0.001443974,-0.00031143893,0.00076176773,-0.0042170854,-0.00042049258,-0.0018819479,0.0010552949,0.0004943251,-0.0007369521,-0.0030908168,0.0011816351,8.012411e-05,0.006443311,0.0033111013,0.0013153238,-0.0031415727,-0.002126929,-0.0021208436,0.015448033,-0.0006620414,0.00053852226,8.117632e-05,-0.00040255883,-0.0030982303,-0.0010469166,-0.0002630112,0.00045989268,-0.0037397416,-0.001109365,-0.0018876371,-3.1372674e-05,-0.0014487989,-0.001681323,-0.00019248,0.003806828,0.0025705753,0.0022332778,-7.718017e-05,-0.007918282,-6.724101e-05,-0.0011764371,-0.004125163,0.0024861565,-0.004192867,0.001805149,-0.0031126742,-0.0005764266,0.0052157454,-0.0032887566,0.0021643739,0.0016708238,0.000941795,0.0009224531,-0.0013477724,0.0002822923,0.0025990144,-0.0015005348,-0.0032721844,-0.004268715,-0.00018625842,0.0011789113,-0.0003081817,-0.0017277846,-0.0014359071,0.0019428665,-0.0013328883,0.0001796048,0.0020051475,-0.0030672979,-0.005310341,-0.0016120953,0.0072110915,0.0013634685,-0.0013179361,-0.0018179213,0.00028756855,0.0013225168,0.0005906939,-0.0024692044,-0.0011795535,-0.0031317605,0.0048495475,-0.0032237386,-0.002494882,0.003846811,4.609124e-05,0.004939433,-0.0016879111,-0.0009045632,0.0027742144,0.0066434345,-0.000156131,0.0010401678,0.0031316015,-0.00018159719,-0.006894351,-1.9463307e-05,0.0075033945,-0.006527285,0.002437315,-0.00031455475,-0.006613654,-0.0026111198,0.0011536619,0.0012103403,-0.0024921005,-0.0033178611,0.0015097468,-0.0016923092,-5.3910095e-05,-0.0054870145,0.0005374506,-0.0023519779,-0.0022085814,0.005340348,0.0060589565,-0.0021146217,-0.005214076,0.0020751914,0.0035311074,-0.0015682952,0.0014724233,-0.004784318
GALNT5,-0.0017930345,-0.00017816066,0.001883399,-0.0009227727,0.0007871036,-0.0002902478,-0.0012973435,0.00025864496,-0.0008626688,0.0025885229,-0.00029387095,4.2691376e-05,-4.079044e-06,-0.00034344321,0.00022032288,0.0005191647,-0.0009107293,0.00029412875,0.00068946404,-0.00064338726,0.0018397297,-0.0002758898,-8.0589445e-05,-0.00047271783,-0.00033929697,-0.0010355249,0.0005001733,0.00044106564,0.0001675291,-0.0007440284,0.00151249,0.00043705644,0.0016640495,-0.00046809867,0.00022977442,0.00035115078,0.00096020225,0.00016417856,-0.00022906905,-2.2803464e-05,-0.0010291261,0.00045724757,-2.4581918e-06,-0.0018153327,0.0010200279,-0.00077637634,-0.0016131813,8.600363e-06,-7.411327e-06,0.000675205,-0.0007991154,0.0009638837,-0.0010097771,-0.00064734195,-0.0009203397,0.0014701652,0.0028350519,0.00015021798,-0.0010542274,-0.00096233835,0.001535297,-0.0006231674,0.0013359645,-0.0018743615,-0.0015609002,0.000487498,-0.0014469711,0.0014848768,0.00035003325,-0.0015116953,0.00089936325,0.0008480411,-0.0009363886,-0.0020596916,0.0002791445,0.0019930233,0.0003161751,0.0017994381,-0.00042561739,-0.0005856259,0.0011575714,-0.0012265244,0.00044540982,-0.003101499,0.0011521794,-0.0014221795,0.0019915812,-9.082163e-06,-0.0013729432,-0.00042064543,-0.00061063294,-0.00016885418,0.000722563,-5.449806e-05,-0.0009999481,0.00014666343,-0.00034756528,-0.0009920867,-0.0018898175,0.0007438851,-0.001279068,0.00200124,-0.0018565976,-0.00024074306,0.002651121,-0.00040848827,0.00025658234,6.049678e-05,-0.0011500985,0.0008664689,0.0006501333,0.0015169934,0.0020428752,-0.0012775018,0.00070622144,-0.00026293547,-0.00038653947,-0.0013308799,0.0010205017,0.00039087897,0.0007237917,-0.00074328895,-0.0003198034,0.0003825755,-0.0003162572,-0.00096358516,0.001087314,-0.0008544257,0.000799287,0.001376998,0.00021681954,-0.0007511186,0.00050743105,-0.001117917,-0.0009918581,0.00067706424
GALR2,-0.00018343361,-0.0012605045,-0.00036672622,1.5117075e-05,0.00053025194,0.00030093963,-0.0003801712,0.00014257806,0.00036652896,0.00083571055,-0.00036897906,9.3615796e-05,0.0003756218,4.3200627e-05,-0.0017312914,0.00024628104,-0.0009434611,0.0013432733,0.0026241278,-0.0012835675,-0.004106432,0.00015209164,0.0014476494,0.0025272972,0.00040539773,-0.00044363333,-0.0009363665,0.0014810084,-0.0020705087,-0.0035646227,0.0013168704,0.0027271286,-0.0031641205,-0.00042303724,-0.0007983713,0.0033476308,-0.001430809,-0.0019667551,0.00032476344,-0.0024810308,-0.00083250285,-0.0006485755,0.0008654594,0.0010186664,0.0001678584,0.00051200646,-0.0018140386,-0.0029091176,-0.0010001797,0.0029473836,0.0033243496,-0.001730273,0.004967608,-0.00082641735,-0.002396155,-0.00012310005,0.0022640186,0.0014676773,8.675578e-05,-0.0012909297,0.001697181,-0.0025907787,0.0006170918,-0.00097361585,0.0013590716,0.0011247152,0.0010015446,0.002377546,0.0018308067,0.0016301137,0.0036897932,-0.003069465,0.00091088034,-0.007183861,0.00048862654,-0.004433102,0.0050832694,-0.002335312,-0.0026182341,0.00520284,-0.0041964273,-0.0021780962,-0.0038053617,0.0032539594,0.002287013,-0.0016493917,-0.001367913,-9.695152e-06,0.0014136325,-0.003739486,0.0027861171,-0.0012351377,0.0016588403,-0.0013568975,-0.0018234425,-0.0029771838,0.00021164438,-0.0012804716,0.000134571,0.0019638268,0.00031304258,-0.0005061915,0.0013256285,-0.0009894072,0.0003966833,2.5732168e-05,-0.0012935717,0.0033689435,-0.0013266228,0.0002273272,-0.0030180877,-0.0007684139,-0.00020552582,0.0033346526,-0.00033708164,-0.0008113253,-0.00015093181,0.0009972907,-0.00094728154,0.00026840958,0.00011744145,0.00071507605,-0.0019412322,-0.002909385,-0.0021894781,-0.0036066212,-0.00056664937,-0.0039721536,-0.0013530932,0.0013924572,0.0023626806,-0.0004271699,0.00030248478,0.0008264109,-0.0028629529,-0.00024731064
GAS2L2,-0.00060495705,-0.00029402523,-5.920993e-05,2.3096598e-05,-0.00016271757,-0.00027247326,-0.0005570834,-0.00020871265,-0.00024332268,0.00035728596,-0.00011775514,0.0002358276,0.000117289805,0.00024093273,0.000840586,4.178876e-05,0.00042689027,0.0009590081,-0.0017905975,0.0017091999,0.0015922737,0.0017937694,0.0010217339,-0.0013522333,0.00044008842,-0.00037769627,-0.00048138795,0.0009711367,2.4938434e-05,0.0008731345,2.658096e-05,0.00019359926,-0.0018801275,0.00010028254,-0.00047101727,-0.0006778936,0.0014866638,5.8825677e-05,0.00018169415,0.00044907298,0.00024138707,-1.0865393e-06,-5.0318773e-05,1.0753619e-05,0.0018831057,-0.00021461141,-0.0007647803,0.0011907332,0.0013459479,-0.0010759488,0.002068758,-0.00022314987,0.0003783805,0.0003831485,-0.0009868625,-0.00015722719,-0.00026376123,-0.0023990201,-9.88379e-05,0.00062474073,-0.0006941549,0.00013042484,-0.0005830616,-0.00043015747,0.0005331802,-4.4028508e-05,-0.00066074287,0.0002372978,0.00043230402,-4.6222162e-06,-0.00010552952,0.00015648006,0.0003965776,-0.00075174274,0.00080443255,0.00080144877,-0.0008269115,-0.0010999758,-0.00019055599,-0.0020670546,0.00032962326,-0.0002555878,-0.0007279787,-0.00036733563,0.001536697,-0.0011736515,0.00014458991,0.0004064512,0.00040092334,-0.00017045622,-0.0010117007,-0.000523174,-0.0008129902,0.0010697753,-9.587141e-05,-1.685206e-05,0.002315047,-0.0009945815,-0.00030370784,0.0008978681,-0.00041228317,0.00021365166,-0.0015797047,-0.0005814651,0.0009710986,-4.478659e-05,0.00018207388,-0.001587959,-0.0009779974,5.5295095e-05,7.004126e-05,-0.00075175316,0.00136602,-0.00015224493,0.0010233845,-0.0009955656,-0.0003592525,0.0015308583,-0.0003200052,-0.00036755338,-0.00023054786,-0.00060605456,0.00054145436,-2.1645012e-05,0.0011591923,-0.00044367855,0.0004423686,8.2057886e-05,-0.00034209367,0.00073060597,-0.0001773862,0.000832442,1.1750105e-05,0.00016263642,0.0008279623,0.00044665052
GAS6-AS1,-0.0010197826,0.0001703206,0.0021552555,-0.000973828,-0.00043372394,0.00019699999,-0.000577781,0.00054117833,0.0005617253,0.00019311487,0.0012146797,-0.0017294249,0.00017487608,0.0003157118,0.0003053642,0.0005567939,-0.000110617664,-4.4624587e-05,-0.00064128265,0.0009648171,-0.0013711696,-0.00016229347,-0.0013328397,-0.0024624805,0.0013474018,0.00012847284,0.0015070883,-0.0020193977,-0.0011246682,-0.00047986265,0.00036995008,0.0013487899,0.003519001,-0.0012345657,0.0017357856,0.0018350888,0.0005869256,0.00025276176,0.0013820834,-0.0001070269,-0.012231905,0.00030349352,0.0012075932,-9.21927e-05,-0.0007460493,-0.002140925,0.00089714694,-0.00040837223,-0.000203012,0.0003119363,-0.00096830196,0.00091779657,-0.0008816691,-0.0036112564,-0.00036211073,-1.8667684e-05,-0.0007706153,0.0012878886,-0.0018471504,-0.0018749072,0.0007485457,-0.0007246439,0.00030046664,-0.0009191735,-0.0021591631,0.0020493793,0.00074797246,0.00042593892,-0.0005636847,-0.0013459729,-0.0018105201,-0.00089916226,0.0008382273,-0.00084608846,0.0014994547,1.0441231e-05,-0.0020896834,-0.00025324256,-3.6109088e-06,0.0004497593,-0.0003304131,-0.0015861325,-0.00013142402,0.0008185709,-0.0017188175,-0.001449857,-0.00753015,0.0004663992,-0.00049545453,0.00027564127,0.0020366118,-0.0007091152,-8.7021486e-05,-0.0012538569,0.0025333555,-0.00175133,-0.00025838468,0.0014723956,-0.00032630074,0.0010241616,0.00048207626,-0.0012268464,-0.0040498553,-0.0036455991,-0.0019149157,-0.00067533704,0.0012585504,0.0010368667,0.00086838874,0.0031647952,0.0036970424,0.0017576567,-0.0015729226,0.0014856642,-0.0027043815,0.0020209579,-0.0008537548,-0.00073385984,-0.0002875817,-0.001011858,-0.0007431536,0.012070462,0.00040579497,-0.0027455406,-0.003401997,3.511641e-05,-0.00019537423,0.0006003382,-0.0017809069,-0.00048733893,-0.00078842003,-0.000934291,-0.00012227759,-0.0005779507,0.0007697804,-0.0016223654
GAS8-AS1,-0.0035139066,0.00027329286,0.0049679847,0.00026053045,-0.0011597208,-0.0008839681,-0.0013234952,-0.0014600523,-0.0018638198,0.0029014926,2.6359887e-05,-4.9748258e-05,-0.0016053617,-0.00038120218,0.00092422735,0.00063226395,-0.00029345488,-0.0030682357,-0.0068535176,0.00081597915,-0.020462116,0.0016775883,0.0028487556,-0.017476777,0.0026988864,0.016906992,-0.0019067897,-0.00622377,-0.0034213446,0.009882956,-0.002464701,0.0022014931,0.002602395,0.006605392,0.0038729107,0.00017177491,-0.00063864933,0.00032399644,0.00263358,0.0001913667,0.004036753,-0.002021902,-0.004497973,0.0001921504,-0.0016230277,-0.0011313242,-0.005584743,0.0005489724,-0.008500557,0.0015547879,-0.0018983028,0.0011947127,-0.004524652,-0.010196585,0.014267113,0.008678781,-0.0044672745,-0.008175499,0.002840848,-0.008784243,0.0024304567,0.0017923742,-0.0037922645,0.0013273597,0.006756517,0.002895062,-0.009394507,-0.0022427521,0.006966007,0.0019469048,-0.0023723815,-0.0051623886,-0.001909304,-0.0024973976,0.00026976253,-0.013059578,-0.0064234096,0.012164619,0.008297462,-0.002141119,-0.0071349833,0.0010650329,0.0019497966,-2.117549e-05,-0.00058124535,0.009788739,0.0041635735,-0.009939733,-0.0038519872,0.0072732307,0.004424055,-0.0033740513,0.0064200405,-0.0022589434,-0.0047673993,0.0021360968,0.0011949902,-0.00013192532,0.0038316662,0.003974955,0.0003944758,-0.0011499312,-0.00017522743,-0.0019162798,0.001092785,-0.002902973,0.0024834166,0.00041453398,0.00089286163,-0.0055427267,-0.004477222,-0.0007192151,0.0009986479,0.0012071205,-0.008036558,0.012706277,0.007619826,-0.022928314,-0.008918479,0.01817738,0.005875153,-0.0028047033,0.0007565236,0.006805854,-0.0023600752,-0.0032362258,0.0045548296,0.00015727151,-0.0013232004,0.0024248697,7.526482e-05,0.00096062064,0.0071989098,1.1341028e-05,0.003558482,-0.0055269017
GATA3,0.0070929984,0.00035260056,-0.0072527938,1.4624771e-05,0.001386435,0.00015614416,-0.0007788114,0.0012964464,-0.0014273323,-0.0010830902,-0.0029021173,-0.0036802534,0.004154136,0.004001925,-0.006636525,0.00041164662,-0.0012582093,-0.0021357983,-0.0014775604,0.001954574,0.00073855626,0.0033411516,0.0033296319,0.00097567035,-0.00070178905,-0.008512252,-0.00025686872,0.005262398,-0.001008703,-0.0019148195,0.00010994591,-0.003253919,0.00029779453,-0.00166589,-0.0014054206,0.0032214448,-0.003368092,0.0026226796,-0.004314018,0.0034033048,0.005510445,-0.002676801,-0.0033281164,0.0050839577,-1.1175198e-05,-0.0020055913,0.0005941022,-0.00224869,0.0016784312,0.0018567849,-0.00023609732,0.0022992124,0.0002089629,-0.0012913038,0.001566026,0.0015531472,-0.002399907,-0.001926218,-0.0009544396,0.00049783016,-0.001834004,0.0025194904,0.0020229572,-0.0016476661,-0.0028402843,-0.0006485043,0.00088530174,0.00053412776,-0.0031272385,0.0023960846,-0.0016942685,-0.0011462774,0.0010036632,0.0006222312,-0.0014291091,0.00020773626,-0.0015749991,0.00090950966,0.00093884073,-0.0015730306,-0.001665394,-0.0032296956,-0.00015169855,-0.0026821839,0.002688247,-0.0014046545,0.000664732,-0.002577384,0.00011863232,0.00024874805,0.00089602126,0.0010878934,0.0043815565,-0.00015609803,-0.002593587,-0.000526903,0.0029830819,0.0039809723,-0.0015976068,-0.004375466,-0.0012351346,0.002155823,-0.0010700927,-0.001670331,-0.00221708,0.0016538427,-0.0009057422,0.0014646837,-0.004809517,0.0027395505,0.0028289794,-0.002312789,0.001399975,0.0034403075,0.0009105335,0.0009790238,0.001986911,-0.0038985694,-0.0032658433,0.0034139736,-0.0020706125,-0.0025912363,-0.001024082,0.000405222,0.0032737032,0.00033094615,0.0006126851,0.005915204,-0.0034721328,0.0011516901,0.0011303475,-0.0049646976,0.0026144139,0.003032595,1.4004977e-05,-0.00071373425
GATA3-AS1,0.00021668209,0.00029169413,0.0006471292,0.000394348,-0.00046030228,0.00020703117,0.00018500036,0.0005479884,-0.00022346078,-0.0005487807,-0.0008737936,-0.00023672245,-0.00017331983,0.00039657782,0.00019074389,0.00016163655,4.8320704e-05,-0.0011360593,0.0005594198,0.00044341647,0.00028043686,-8.918731e-05,-0.0001145537,0.00027032263,-0.00037064817,-8.7501445e-05,0.0004567915,-0.0003071722,0.00024816926,0.0010064088,-0.0009233045,-0.0007397419,-0.0001681694,-8.933482e-05,-0.00050223887,0.0009183434,-0.00062831154,0.0010442781,-0.0009125426,0.0012423757,0.001073926,0.00017505759,-0.00039022954,-0.00024812602,-0.00047946966,0.00019693322,0.0007936103,0.0012812602,0.0007346381,0.00036752707,0.00033450988,-0.0012755465,-4.405418e-05,-0.0007327619,-0.00046924813,-0.00032921243,-0.00034440137,-0.00031026817,0.00026364074,0.00019124667,2.0647818e-05,-0.00015469964,2.4410367e-06,0.00044262467,0.000295447,0.00026940013,-0.0001334655,-0.0004876733,-0.00013900254,0.00018060622,0.0005713916,0.0011760816,0.0006330717,0.0002795636,-0.0013943311,0.00084605097,-0.00039238462,-0.000748954,-0.00025209077,-0.00032010535,9.353121e-05,0.00031961073,0.00012953285,-0.0001935953,-0.0011634814,0.00031434777,0.00015752339,-0.000122037985,-0.0003547308,-0.00017549522,0.00069721416,1.0492758e-05,-0.00015947106,-0.0011415503,-0.0001823347,-0.00023366966,-0.00023474764,0.00018991245,6.7164974e-06,-0.0010182098,-0.00027111114,-4.6286204e-05,-0.00053864263,-0.0008456209,-0.00017632502,-0.00021652323,-0.00040798614,0.0006611367,0.0006219149,0.00063991215,0.0002767034,0.00040003718,0.00038991496,-0.00040006742,-0.00030862252,-1.960121e-05,0.00032923077,-0.00028321837,-0.00041982386,-0.0004222558,0.00046460505,-0.00083573326,0.00056616485,0.0005445308,0.0002669125,-0.00019249273,-0.00029199943,0.00046148547,0.00053823105,0.00026155668,0.00032320438,0.0003405742,-0.00050709106,-6.512648e-05,-0.00020428357,-0.0002545633
GATA4,0.0007491549,-0.004351653,-0.006125935,-0.0023344196,-0.008068495,-0.00026152175,-0.0011283676,0.027059054,0.0030059428,0.014889835,-0.0032756133,0.0034311677,0.0012355334,-0.0039510005,-0.0017360238,0.011855714,0.0021271051,0.011906971,0.008965727,0.020016598,0.0012749877,-0.0018056403,-0.05899085,-0.009476694,-0.024003245,0.025450738,-0.009164184,-0.014315538,0.00823007,-0.012597508,-0.04189341,0.0036886607,0.012082583,0.01689534,0.002807944,0.009896038,-0.081024945,-0.006880155,-0.028304555,0.009146648,-0.0114184255,-0.00802376,0.0045807026,0.009417929,-0.026738321,-0.0032029527,0.013782788,-0.0008593103,-0.00028010865,-0.017810907,-0.0147669315,-0.028719243,0.017765747,-0.008089309,0.0068912087,-0.007392854,-0.0059215566,-0.010877068,0.002565895,0.012426355,-0.005103501,-0.08992966,-0.015980903,-0.033746466,0.02273718,-0.020602135,-0.00016996005,0.0024797975,-0.014834478,-0.0440322,-0.00348328,0.009507508,-0.010057811,-0.0030076716,0.0015296504,0.008786572,-0.0020155415,-0.009813151,-0.002792945,0.007992809,-0.014961444,-0.005621257,0.0030394532,0.010417354,-0.003959317,0.0035412468,-0.0047724233,0.01379234,0.004004572,-0.02070483,0.0007471239,0.12646483,0.041509226,0.13963568,-0.04649285,0.023531925,0.013129489,-0.023442306,-0.02159992,0.11808713,0.0021304137,0.024445286,-0.0020863556,0.004596722,-0.0012460329,-0.0009506845,-0.0017602548,0.021677485,0.02730945,-0.030267736,0.015214351,0.02623785,-0.007498133,-0.020267721,0.070017695,-0.011674671,-0.0034763794,-0.018883161,0.0012550089,0.017522994,-0.01264321,0.0021390575,0.018110283,-0.0030917886,-0.0064168354,0.01660435,-0.02862501,-0.0030547234,0.029442305,-0.00030647244,-0.0061199456,0.010190495,-0.0005122158,-0.036313944,-0.008320995,0.006537562
GBP5,-0.00050775945,0.00025115607,0.0010556233,0.00018577215,0.00018419081,0.0005397865,-0.0003053465,0.0001136041,7.1469614e-05,0.00070064765,0.00022771988,-0.000713794,0.0009172957,0.00036483264,-0.001381346,5.8781625e-05,0.0012249008,0.0011134956,-0.00016945301,-0.0006012293,0.0016703863,-0.0017121366,0.00080298225,0.00055181317,-0.001461701,-1.3280895e-05,-0.0012109817,-0.00192916,-0.0018429238,-8.7560984e-05,-0.00017069331,-4.5806744e-05,0.00048228577,1.3496663e-05,-0.0018393204,-0.00020081265,0.0012841923,-0.0013675673,-0.0009156683,-0.0003039785,0.00046388805,-0.0003808961,0.00046234461,0.0023117021,0.0014236721,0.00014375613,0.0016825477,0.0002588952,-0.00064350106,-0.00085103844,-0.00037689076,0.0016365782,0.0011840161,0.00027163257,0.0002879183,0.0007886964,0.0013250549,-2.2465274e-06,0.00022090979,-0.0032561473,0.0010230744,0.0027771096,-0.0034827958,-0.00085421756,0.0012592591,0.0023059407,7.484562e-05,0.0020840548,0.00086790754,0.0031654912,0.0002776933,0.0012827805,-0.0024005063,0.0023080278,0.0015993533,0.0013347185,-0.0014724284,-0.0007947553,-0.0022336002,-0.00069339003,-0.0014431343,0.0009217024,0.002434612,-0.0011758761,-0.0021156084,-0.001479915,-0.00044263186,-0.0014338644,0.0005927226,-0.001251292,0.00046361625,-0.0007418784,-0.0027725208,-0.00042582193,-0.0019761901,0.0006574386,0.003405868,0.0015657974,0.0017883581,0.002252278,0.0011901653,0.004295449,-0.00021036883,-0.0008104403,-0.0010843325,-0.0019849613,-0.0007614718,-0.0016206215,0.0022730825,0.00056100247,0.0015462989,0.00012743214,-0.0013055345,0.001012015,-0.002139761,-0.0005896204,-0.00036686493,6.29257e-05,0.0007593466,0.0003897997,-0.00059426966,-0.00085205195,-0.00053688063,0.00078189705,0.0016355793,3.2517208e-05,-0.00242486,0.0016465366,0.00020205729,0.002342984,-0.0006917321,0.0011085265,0.0017609602,-0.00025539316,0.00045772752,0.0006777182
GCM2,9.8876335e-05,0.0014716717,-0.0016818176,0.0005916518,-2.3777919e-05,0.00042397063,0.0005879699,0.0002745119,-8.9683046e-05,-3.4201297e-05,1.4189705e-05,-0.0010548864,0.00062005053,-6.223617e-05,-0.00048104473,-7.799184e-05,-0.0019408051,-0.003857206,0.0010776161,-0.0024296334,-0.0014434175,-0.0009347932,-0.00080564106,0.00069011457,-0.0012194432,-0.0013507303,-0.00025142537,0.0024841202,0.0015502512,9.7406366e-05,-0.0019780637,0.0011736965,-0.0003199137,0.00048019725,0.0004858718,0.001662823,0.0010953741,0.0011648708,-0.0007007765,0.00028757134,0.0036132864,-0.00057926826,0.00068239524,0.00015829355,0.0006021496,-0.0006984779,0.0028508138,0.0014009542,0.0005470323,0.00028609214,0.0014872027,0.0018638182,-0.001176151,0.00031661656,-0.00092520984,0.0016325337,0.0001466456,8.729023e-05,-0.000397065,0.002526742,-0.0006762785,0.00060532015,0.0005005526,0.0014753056,-0.004237227,0.00170992,-0.00091371883,0.0012015487,0.00064355007,0.001371522,-0.0009871091,-0.00049353874,-0.00015390538,-0.001899037,-0.00078214303,-0.0014451279,0.0011139913,-0.00028610602,-0.00015430179,-0.00097631174,8.286972e-05,-0.0017418662,-0.00032344865,-0.00083248806,-0.000597736,0.00072301354,-0.00032496417,-0.0005212134,0.0009779988,0.00025385877,0.0015188823,0.0011049126,0.0031738963,0.0014975299,-0.0003899764,-0.0005287697,0.0008854745,-0.00023463348,-0.00085745635,-0.00085092225,-0.0012256529,5.491092e-05,0.0009261203,-0.0015562337,-0.0005278764,0.00077940593,0.0011658064,-0.0011999945,-0.00054673787,0.0005812682,0.0014418996,-0.0006889316,0.0016481471,-0.00056767894,0.0007832855,0.0009994856,-0.00092219055,0.00051751325,-0.0013006775,0.002263423,-0.00015590955,-0.0025122939,-0.001051999,0.000393139,0.00018555672,0.00011490763,0.0003376649,0.0007753289,-0.0012103303,0.0010242556,-0.0008533863,-0.00020799122,-0.0012586132,-0.00035843576,-0.0011701608,-0.00034779398
GDA,0.00035125748,3.4400487e-05,-0.0063738083,-0.00038824178,-0.0002074013,1.9519222e-05,-0.001196908,0.0009924236,0.0005018926,0.0013039322,-0.0009809983,-0.000383121,-0.0012079204,-0.0021818413,-0.0010929067,-0.00011696984,0.002421338,0.005211294,-0.0005935425,0.00389538,0.0013178276,0.004481577,-0.0012947276,0.0049893423,0.00020143755,-5.568877e-05,-0.0032427849,-0.0036825878,0.00046102528,-0.0030263094,-0.0022446977,0.010853711,0.0015143801,0.0013619212,-0.0014699554,-0.0012873968,-0.003670263,-0.00078067224,0.0030789285,0.003387552,-0.0032381678,-0.0016029845,0.002396645,-0.0004267641,-0.001469951,0.00023003764,0.000118349795,0.0010068748,-0.0018611387,-0.00053483614,-0.0032925562,-0.001952478,-0.0011360622,-0.0002766114,-0.0016959464,0.0025046277,-0.0023040045,0.0010281008,-0.00033948172,0.0021040773,-0.0021865962,-0.00023839586,0.005310743,-0.0011278458,-0.0026425438,0.0036727951,-0.002934521,0.007362614,0.00046069972,-3.6293877e-05,0.00032551945,-0.0032628332,-0.0013086037,0.00031170863,0.002156591,-0.00263004,-0.00012565046,-0.0055753537,0.003395098,0.0037059046,0.0017548305,-0.0051332866,-0.00041451422,-0.004997533,0.006832202,-0.005617275,0.0002058988,-0.0010578317,0.006848987,0.0010474285,0.004589212,-0.0048474,0.004333277,0.002462678,0.0032077536,0.00068062235,0.0011214305,0.0032696286,0.00036396866,-0.00034534308,-0.0009760618,0.00014041016,-0.0044341735,-0.003217229,0.0017204476,-6.436349e-05,-0.0005723435,0.0012967079,-0.0073162043,0.0045817634,0.0029423486,0.0014641298,0.00059477455,0.0055811447,-0.0032635843,-0.0032937562,0.0020863316,-0.0009085969,0.007324889,-0.005334853,-0.002142195,0.0018632183,-0.0037102979,0.00241378,-0.0027299607,0.00400856,-0.0031773949,0.0010552095,-0.00052578025,-0.0015345325,-0.0038417755,-0.0053608166,0.0063406685,-0.00092510233,0.00022539856,-0.0035933491
GDF15,0.00028980497,-0.00056850567,-0.0005567085,0.00037267772,-0.00013677306,0.0012369255,-0.00066821923,-0.0003891598,0.0009138631,0.0011265918,0.0004039723,0.00037075777,0.000641608,0.0004014604,0.00029565764,0.00024168733,0.0002498099,0.0003434523,-0.00042371423,-0.00070639997,-0.0019113673,0.0021206276,-0.00097407907,-0.0019656592,-0.0029702156,-0.0006636654,0.0009271427,0.0010313119,-0.0026972035,-0.0002960808,-0.00022201666,-0.0015992571,-0.0009179716,0.001342231,-0.0009895004,0.00031994376,0.00033210087,-0.0017758539,0.00054741045,2.6447846e-05,0.0018267154,0.00024211104,-0.0009299841,-0.00039372416,-0.0018872742,2.726497e-05,-0.0010749076,-0.00064248696,0.00129471,0.00021067965,0.0006233738,-0.00032377965,0.0030543949,-0.0019818759,0.0016615873,0.002002335,-0.000113971255,0.0001783573,0.004423017,0.0023751734,0.0044087814,0.0023851504,-0.00033050118,0.0017741065,-0.0048770593,-0.0005208604,-0.0013334088,0.0016650113,-0.002178614,-7.028156e-06,0.0013112841,-0.0016535135,-0.0013300363,-0.00069857424,0.0010152478,0.0012868571,0.0018741481,-0.00029016528,-0.0018102784,-2.8686512e-07,-0.0015009159,-0.00010872985,0.0015959213,-0.0018421418,0.0014836942,-0.0017809769,0.0025330735,0.00080658315,0.0010568424,-0.0033024885,0.0016828558,-0.0018142078,-0.0005215949,0.0017021571,-0.0016402366,0.0007029494,-0.00015396553,-0.000713486,-0.0012873431,-0.0014477704,0.0006586957,0.0013828886,0.0040793386,0.0018486762,0.002276296,0.0013172477,-0.0008785839,0.0005275617,-0.0014619542,-0.0029938382,-0.0014534604,-0.00010648771,0.0018497861,0.0022551392,-0.0014365457,0.0030009518,-0.0018182504,-0.00041342055,0.001128062,0.0019019154,0.0031911882,0.00063203106,0.001443556,-0.0020601547,-0.0032623706,-0.00031755175,-0.00033547753,-0.00025294023,0.001371676,0.00085293734,9.298992e-05,-0.0012978611,-0.00032046824,-0.00024660796,-0.0006064401,-0.0002077427
